Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction
OneWayTransmissionLink,Region23Sichuan_to_Region28Gansu_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_Region28Gansu,1,0,0.0014546604042278445,0,2.1002750958904107e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region23Sichuan_to_Region24Guizhou_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_Region24Guizhou,1,0,0.0009397459449981892,0,1.609715917808219e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region23Sichuan_to_Region29Qinghai_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_Region29Qinghai,1,0,0.001477476114588881,0,2.261050232876712e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region23Sichuan_to_SichuanBasin_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_SichuanBasin,1,0,0.00034653002718047576,0,6.386514246575342e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region23Sichuan_to_Region26Tibet_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_Region26Tibet,1,0,0.002321974613025358,0,5.3136977260273967e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region23Sichuan_to_Region25Yunnan_CO2_Pipeline,Region23Sichuan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region23Sichuan,co2_transported_Region23Sichuan_to_Region25Yunnan,1,0,0.0011821002730346575,0,2.0644798767123287e-05,0.08,25,15,0.0
OneWayTransmissionLink,Songliao_to_Erlian_CO2_Pipeline,Songliao,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_Songliao,co2_transported_Songliao_to_Erlian,1,0,0.0008873483078725632,0,2.6604312739726024e-05,0.08,25,15,0.0
OneWayTransmissionLink,Songliao_to_Hailar_CO2_Pipeline,Songliao,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_Songliao,co2_transported_Songliao_to_Hailar,1,0,0.0008760230632244758,0,2.349310438356164e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_BohaiOffshore_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_BohaiOffshore,1,0,0.00032547780821917807,0,9.76433424657534e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_BohaiOnshore_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_BohaiOnshore,1,0,0.00037546253795026085,0,4.144329452054794e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region2Tianjin_to_Erlian_CO2_Pipeline,Region2Tianjin,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region2Tianjin,co2_transported_Region2Tianjin_to_Erlian,1,0,0.0008533962468754754,0,1.7218684931506846e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region26Tibet_to_Qaidam_CO2_Pipeline,Region26Tibet,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region26Tibet,co2_transported_Region26Tibet_to_Qaidam,1,0,0.0010188712370127193,0,2.7993363698630136e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region26Tibet_to_Region29Qinghai_CO2_Pipeline,Region26Tibet,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region26Tibet,co2_transported_Region26Tibet_to_Region29Qinghai,1,0,0.001506146820702626,0,4.379930753424657e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region26Tibet_to_Tarim_CO2_Pipeline,Region26Tibet,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region26Tibet,co2_transported_Region26Tibet_to_Tarim,1,0,0.0014301677789452436,0,4.373661534246575e-05,0.08,25,15,0.0
OneWayTransmissionLink,TurpanHami_to_Junggar_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_Junggar,1,0,0.000426050080159184,0,1.436777917808219e-05,0.08,25,15,0.0
OneWayTransmissionLink,TurpanHami_to_Qaidam_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_Qaidam,1,0,0.0005534337299029051,0,1.825787301369863e-05,0.08,25,15,0.0
OneWayTransmissionLink,TurpanHami_to_YingenEjina_CO2_Pipeline,TurpanHami,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_storage_TurpanHami,co2_transported_TurpanHami_to_YingenEjina,1,0,0.0007178413128155354,0,2.455049342465753e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region31Xinjiang_to_Junggar_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Junggar,1,0,0.00017650425567618459,0,4.771540273972602e-06,0.08,25,15,0.0
OneWayTransmissionLink,Region31Xinjiang_to_Qaidam_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Qaidam,1,0,0.0008620600976686746,0,2.86850001369863e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region31Xinjiang_to_Tarim_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_Tarim,1,0,0.0008427305062247678,0,2.5574369589041093e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region31Xinjiang_to_TurpanHami_CO2_Pipeline,Region31Xinjiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region31Xinjiang,co2_transported_Region31Xinjiang_to_TurpanHami,1,0,0.00037537459472049674,0,1.195167410958904e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region25Yunnan_to_BeibuGulf_CO2_Pipeline,Region25Yunnan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region25Yunnan,co2_transported_Region25Yunnan_to_BeibuGulf,1,0,0.0013140920547945205,0,3.942276164383561e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region25Yunnan_to_Region26Tibet_CO2_Pipeline,Region25Yunnan,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region25Yunnan,co2_transported_Region25Yunnan_to_Region26Tibet,1,0,0.002903501759002711,0,6.004062986301369e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region11Zhejiang_to_Region12Anhui_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region12Anhui,1,0,0.0007958561324243692,0,1.2177019315068491e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region11Zhejiang_to_EastChinaSea_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_EastChinaSea,1,0,0.0007248838356164383,0,2.1746515068493148e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region11Zhejiang_to_Region13Fujian_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region13Fujian,1,0,0.0011973629988698109,0,1.4611325342465751e-05,0.08,25,15,0.0
OneWayTransmissionLink,Region11Zhejiang_to_Region14Jiangxi_CO2_Pipeline,Region11Zhejiang,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_Region11Zhejiang,co2_transported_Region11Zhejiang_to_Region14Jiangxi,1,0,0.0010283979049927436,0,1.543152410958904e-05,0.08,25,15,0.0
