Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,Nanxiang_to_Qinshui_CO2_Injection,Nanxiang,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,5713863.710625,0,171415.91131875,0.08,40,20,0,co2_transported_Nanxiang_to_Qinshui,co2_storage_Qinshui
CO2Injection,Region30Ningxia_to_Ordos_CO2_Injection,Region30Ningxia,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,9847481.12775,0,295424.4338325,0.08,40,20,0,co2_transported_Region30Ningxia_to_Ordos,co2_storage_Ordos
CO2Injection,Region30Ningxia_to_YingenEjina_CO2_Injection,Region30Ningxia,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,15793860.5055,0,473815.815165,0.08,40,20,0,co2_transported_Region30Ningxia_to_YingenEjina,co2_storage_YingenEjina
CO2Injection,Ordos_to_Qinshui_CO2_Injection,Ordos,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,5713863.710625,0,171415.91131875,0.08,40,20,0,co2_transported_Ordos_to_Qinshui,co2_storage_Qinshui
CO2Injection,Qaidam_to_Tarim_CO2_Injection,Qaidam,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,159122.7941652249,0,4773.683824956747,0.08,40,20,0,co2_transported_Qaidam_to_Tarim,co2_storage_Tarim
CO2Injection,Qaidam_to_YingenEjina_CO2_Injection,Qaidam,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,15793860.5055,0,473815.815165,0.08,40,20,0,co2_transported_Qaidam_to_YingenEjina,co2_storage_YingenEjina
CO2Injection,Region29Qinghai_to_Qaidam_CO2_Injection,Region29Qinghai,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,125111.68613732768,0,3753.3505841198303,0.08,40,20,0,co2_transported_Region29Qinghai_to_Qaidam,co2_storage_Qaidam
CO2Injection,Region29Qinghai_to_YingenEjina_CO2_Injection,Region29Qinghai,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,15793860.5055,0,473815.815165,0.08,40,20,0,co2_transported_Region29Qinghai_to_YingenEjina,co2_storage_YingenEjina
CO2Injection,Region27Shaanxi_to_Nanxiang_CO2_Injection,Region27Shaanxi,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,66268.37905619112,0,1988.0513716857333,0.08,40,20,0,co2_transported_Region27Shaanxi_to_Nanxiang,co2_storage_Nanxiang
CO2Injection,Region27Shaanxi_to_Ordos_CO2_Injection,Region27Shaanxi,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,9847481.12775,0,295424.4338325,0.08,40,20,0,co2_transported_Region27Shaanxi_to_Ordos,co2_storage_Ordos
CO2Injection,Region27Shaanxi_to_Qinshui_CO2_Injection,Region27Shaanxi,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,5713863.710625,0,171415.91131875,0.08,40,20,0,co2_transported_Region27Shaanxi_to_Qinshui,co2_storage_Qinshui
CO2Injection,Region27Shaanxi_to_SichuanBasin_CO2_Injection,Region27Shaanxi,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,89372240.5275,0,2681167.215825,0.08,40,20,0,co2_transported_Region27Shaanxi_to_SichuanBasin,co2_storage_SichuanBasin
CO2Injection,Region15Shandong_to_BohaiOffshore_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,46204.006708804285,0,1386.1202012641286,0.08,40,20,0,co2_transported_Region15Shandong_to_BohaiOffshore,co2_storage_BohaiOffshore
CO2Injection,Region15Shandong_to_BohaiOnshore_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,41341.23059508816,0,1240.2369178526446,0.08,40,20,0,co2_transported_Region15Shandong_to_BohaiOnshore,co2_storage_BohaiOnshore
CO2Injection,Region15Shandong_to_Hehuai_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,293230.85901536315,0,8796.925770460894,0.08,40,20,0,co2_transported_Region15Shandong_to_Hehuai,co2_storage_Hehuai
CO2Injection,Region15Shandong_to_NorthYellowSea_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,53466.01389810426,0,1603.9804169431277,0.08,40,20,0,co2_transported_Region15Shandong_to_NorthYellowSea,co2_storage_NorthYellowSea
CO2Injection,Region15Shandong_to_SouthYellowSea_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,14996663.932500001,0,449899.917975,0.08,40,20,0,co2_transported_Region15Shandong_to_SouthYellowSea,co2_storage_SouthYellowSea
CO2Injection,Region15Shandong_to_Subei_CO2_Injection,Region15Shandong,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,62938.98289948453,0,1888.1694869845358,0.08,40,20,0,co2_transported_Region15Shandong_to_Subei,co2_storage_Subei
CO2Injection,Region9Shanghai_to_EastChinaSea_CO2_Injection,Region9Shanghai,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,67975.03085625,0,2039.2509256874998,0.08,40,20,0,co2_transported_Region9Shanghai_to_EastChinaSea,co2_storage_EastChinaSea
